primaryName,birthYear,deathYear,primaryProfession,knownForTitles
Marie Richardson,1959,\N,"actress,soundtrack","tt0108309,tt0347457,tt0120663,tt0338309"
Cecilia Frode,1970,\N,"actress,soundtrack","tt0253197,tt0888279,tt2494834,tt0297234"
Jacob Ericksson,1967,\N,actor,"tt1132620,tt0118554,tt1343097,tt1216487"
Mark Addy,1964,\N,"actor,soundtrack","tt0183790,tt0955308,tt0944947,tt0119164"
Stephen Baldwin,1966,\N,"actor,producer,director","tt0115683,tt0158622,tt0486583,tt0114814"
Kristen Johnston,1967,\N,"actress,soundtrack","tt0145660,tt0158622,tt0758766,tt0115082"
Jane Krakowski,1968,\N,"actress,soundtrack","tt0085995,tt0496424,tt3339966,tt0118254"
Chip Duford,1967,\N,actor,"tt0903268,tt0159371,tt4908990,tt4018690"
Jack Bradley,\N,\N,actor,"tt0092325,tt0159371,tt0138956,tt0128889"
Michele Howard,\N,\N,actress,"tt0265252,tt2948696,tt0159371,tt0261492"
Shawn Kerwin,\N,\N,actor,"tt0319748,tt0159371"
Karen Newman,\N,\N,"actress,soundtrack","tt0159371,tt0096969,tt0098678,tt1456635"
Tony Abruzzo,\N,\N,actor,"tt0159371,tt0097911"
Jane Walworth,\N,\N,actress,tt0159371
Harry Mitchell,\N,\N,actor,tt0159371
Seth Gilliam,1968,\N,"actor,miscellaneous","tt0306414,tt1520211,tt1567432,tt0115956"
Dwight Ewell,\N,\N,actor,"tt0118842,tt0261392,tt0138537,tt0120655"
Andre Johnson,\N,\N,actor,"tt0364845,tt14271498,tt7529770,tt0475784"
Rockmond Dunbar,1973,\N,"actor,producer,director","tt0373469,tt1142798,tt1124373,tt0108758"
Joe Mantegna,1947,\N,"actor,producer,director","tt0120533,tt0108065,tt0099674,tt0109190"
Peter Coyote,1941,\N,"actor,producer,miscellaneous","tt0104779,tt0120184,tt0281358,tt0083866"
Mercedes Ruehl,1948,\N,"actress,soundtrack","tt0095593,tt0101889,tt0093936,tt0094737"
Whoopi Goldberg,1955,\N,"actress,producer,writer","tt0105417,tt0108147,tt0099653,tt0088939"
Jerry Stiller,1927,2020,"actor,producer,soundtrack","tt0408839,tt0427327,tt0196229,tt0098904"
Janeane Garofalo,1964,\N,"actress,writer,producer","tt0117979,tt0132347,tt0382932,tt0243655"
Max Perlich,1968,\N,"actor,miscellaneous","tt0097240,tt0115639,tt0106582,tt0110478"
Ted Demme,1963,2002,"director,producer,actor","tt0221027,tt0342275,tt0110955,tt0115639"
Lillian Adams,1922,2011,actress,"tt0185431,tt0081375,tt0315327,tt0079367"
Casey Affleck,1975,\N,"actor,producer,writer","tt6265828,tt4034228,tt0443680,tt6063090"
Cara Buono,\N,\N,"actress,producer,director","tt4574334,tt0141842,tt1839578,tt0804503"
Nestor Carbonell,1967,\N,"actor,director,writer","tt0411008,tt2188671,tt1345836,tt0468569"
Christine Taylor,1971,\N,"actress,soundtrack,writer","tt0120888,tt0364725,tt0196229,tt0118073"
Paget Brewster,1969,\N,"actress,soundtrack,producer","tt0452046,tt1439629,tt14500082,tt9827854"
Claudia Schiffer,1970,\N,"actress,producer","tt2802144,tt0196229,tt0110989,tt0314331"
John Corbett,1961,\N,"actor,soundtrack,producer","tt0240890,tt0425430,tt0098878,tt0259446"
Cameron Diaz,1972,\N,"actress,producer,soundtrack","tt0119738,tt0129387,tt0160127,tt0259711"
Drew Barrymore,1975,\N,"producer,actress,soundtrack","tt0160127,tt0343660,tt0120631,tt0151738"
Lucy Liu,1968,\N,"actress,director,producer","tt0266697,tt0305357,tt0160127,tt0299658"
Bill Murray,1950,\N,"actor,soundtrack,writer","tt0128445,tt0335266,tt1748122,tt0362270"
Ernest Borgnine,1917,2012,"actor,soundtrack,producer","tt0086662,tt0048356,tt0082340,tt0069113"
Eileen Brennan,1932,2013,"actress,writer,soundtrack","tt0088930,tt0263488,tt0081375,tt0074937"
Jeffrey Sharmat,1987,\N,actor,"tt0284770,tt0160447,tt0118276,tt0410258"
Stephanie Sawyer,\N,\N,actress,"tt0128591,tt0120855,tt0120794,tt0110997"
Kevin Spacey,1959,\N,"actor,producer,soundtrack","tt0114814,tt0169547,tt0114369,tt0119488"
Linda Fiorentino,1958,\N,"actress,soundtrack","tt0119654,tt0120655,tt0088680,tt0110308"
Peter Mullan,1959,\N,"actor,director,writer","tt0318411,tt0206634,tt1568911,tt1204340"
Stephen Dillane,1957,\N,"actor,soundtrack","tt0266987,tt0274558,tt4555426,tt0944947"
Lisa Maher,\N,\N,actress,tt0160607
George Sereika,\N,\N,actor,tt0160607
Seth Walther,\N,\N,"writer,script_department,actor","tt2236126,tt1704503,tt4962796,tt3717532"
Kate Ross,1973,\N,actress,"tt0112056,tt0160607"
Clotilde Courau,1969,\N,"actress,soundtrack","tt0104812,tt0100357,tt0450188,tt3651326"
Vincent Elbaz,1971,\N,"actor,writer,director","tt2493230,tt0120471,tt0119981,tt2980648"
Géraldine Pailhas,1971,\N,"actress,soundtrack","tt0112883,tt2752200,tt0102520,tt0101364"
Karin Viard,1966,\N,"actress,writer,producer","tt0101700,tt1661420,tt0869994,tt3547740"
Diane Keaton,1946,\N,"actress,producer,director","tt0082979,tt0337741,tt0356680,tt0075686"
Meg Ryan,1961,\N,"actress,producer,director","tt0098635,tt0120632,tt0128853,tt0108160"
Lisa Kudrow,1963,\N,"actress,producer,writer","tt0434672,tt0120032,tt0120777,tt0108778"
Walter Matthau,1920,2000,"actor,soundtrack,director","tt0071524,tt0072251,tt0060424,tt0063374"
Michael Laurence,\N,\N,"actor,director,writer","tt4118584,tt0914387,tt2104664,tt2741602"
Christa Miller,1964,\N,"actress,music_department,soundtrack","tt0285403,tt1441109,tt0111945,tt0424600"
Stephen Tobolowsky,1951,\N,"actor,soundtrack,writer","tt0486946,tt0107048,tt0095647,tt0103074"
Brion James,1945,1999,"actor,producer","tt0083658,tt0099044,tt0108238,tt0119116"
Emily Watson,1967,\N,"actress,producer,soundtrack","tt0272338,tt0289765,tt0115751,tt0280707"
Dermot Mulroney,1963,\N,"actor,soundtrack,music_department","tt1322269,tt0119738,tt0096487,tt0356680"
Nick Nolte,1941,\N,"actor,producer,soundtrack","tt1291584,tt0102713,tt0118564,tt0120863"
Nathan Lane,1956,\N,"actor,soundtrack,producer","tt0110357,tt0395251,tt0119715,tt0115685"
Dante Basco,1975,\N,"actor,producer,writer","tt2139965,tt0179116,tt0446046,tt0102057"
Eddie Garcia,1929,2019,"actor,director,assistant_director","tt0318412,tt2244376,tt0186550,tt0124988"
Jayson Schaal,\N,\N,actor,"tt0124914,tt0178916,tt0163745,tt0134206"
Brian Card,\N,\N,actor,"tt0248974,tt0269134,tt0163745,tt0122132"
Matthew Lawrence,1980,\N,"actor,soundtrack,producer","tt0105958,tt0107614,tt0111901,tt0302640"
Justin Walker,\N,\N,actor,"tt0400871,tt0112697,tt0119500,tt0164192"
Christine Lakin,1979,\N,"actress,miscellaneous,director","tt6546758,tt8510382,tt2712740,tt0182576"
Christian Payne,\N,\N,actor,"tt0190106,tt0112022,tt0164192,tt0058796"
Keith Allison,1942,2021,"actor,soundtrack,music_department","tt0071994,tt0078239,tt0119512,tt0115083"
Christopher Allport,1947,2008,"actor,soundtrack","tt0090180,tt0105937,tt0094484,tt0116671"
Jeannetta Arnette,\N,\N,"actress,soundtrack","tt0120824,tt0223897,tt0171804,tt0910936"
Jameson Baltes,\N,\N,actor,"tt0115237,tt0247082,tt0138956,tt0115320"
Soleil Moon Frye,1976,\N,"actress,producer,soundtrack","tt0110913,tt0115341,tt0086787,tt0144289"
Wil Wheaton,1972,\N,"actor,writer,producer","tt0092005,tt0084649,tt0103112,tt0092455"
Catherine Taber,\N,\N,"actress,soundtrack,executive","tt0458290,tt10148174,tt2488496,tt4859164"
Gary Wolf,1969,\N,actor,"tt3799694,tt0395843,tt0140688,tt0452046"
Thom Hoffman,1957,\N,"actor,director,writer","tt0389557,tt0179057,tt0168509,tt0086543"
Inês de Medeiros,1968,\N,"actress,director,assistant_director","tt0114083,tt0124840,tt2266693,tt0109384"
Catherine de Seynes,1930,2012,actress,"tt0060481,tt0169427,tt0258019,tt0168509"
Javier Cruz,\N,\N,actor,"tt0460342,tt1179855,tt1661320,tt0168509"
Marco Girnth,1970,\N,"actor,writer","tt0166649,tt0274279,tt7887026,tt0312097"
Eva Herzig,1972,\N,actress,"tt1058570,tt0114502,tt0166649,tt0108749"
Konstantin Prochorowski,1985,\N,actor,"tt0281339,tt0806910,tt1105288,tt0166649"
Claudia Grünberg,\N,\N,actress,"tt0178142,tt0166649,tt0108793,tt0282725"
Laura Morante,1956,\N,"actress,writer,director","tt0208990,tt0498120,tt1846612,tt0084813"
Monica Scattini,1956,2015,"actress,director,writer","tt0085865,tt0875034,tt0103658,tt0110458"
Maddalena Crippa,1957,\N,actress,"tt0083226,tt0152923,tt0139064,tt0084416"
Naike Rivelli,1974,\N,"actress,composer,writer","tt0402894,tt0314226,tt0103203"
Aaron Priest,\N,\N,"director,actor,writer","tt0132347,tt1439488,tt1831708,tt0325563"
Robia Scott,1970,\N,actress,"tt0118276,tt0098749,tt9024106,tt0899287"
Krista Gano,\N,\N,"producer,director,writer","tt6601058,tt14169066,tt13026748,tt5037536"
Scott Roberts,1971,\N,"producer,actor,writer","tt0168578,tt1742324,tt12162934,tt1333998"
Nis Bank-Mikkelsen,1945,\N,"actor,miscellaneous","tt0164994,tt0077051,tt0168856,tt1298825"
Søren Sætter-Lassen,1955,\N,actor,"tt0826760,tt1961192,tt0128007,tt0281924"
Morten Kerrn Nielsen,\N,\N,actor,tt0168856
Sebastian Jessen,1986,\N,"actor,assistant_director","tt1854236,tt2146660,tt1526318,tt5062938"
Scott Wiper,1970,\N,"writer,director,actor","tt0443473,tt0213149,tt9441638,tt1366365"
Jack Conley,\N,\N,actor,"tt2975578,tt0181865,tt1013752,tt0436339"
Carmen Argenziano,1943,2019,"actor,producer","tt0086383,tt0094608,tt0115759,tt0309698"
Richard Haje,\N,\N,actor,"tt0112022,tt0119215,tt0201694,tt0266465"
Claudia Vaseková,1966,\N,"actress,miscellaneous,assistant_director","tt1229238,tt6028620,tt2584384,tt10693024"
Ewa Gawryluk,1967,\N,actress,"tt2012645,tt0120267,tt0117229,tt0122740"
Vladimír Hajdu,1963,\N,actor,"tt7091504,tt3204842,tt0314968,tt0166853"
Jirí Lábus,1950,\N,"actor,writer,soundtrack","tt0182728,tt2332573,tt0109101,tt5783476"
Jim Carrey,1962,\N,"actor,writer,soundtrack","tt0338013,tt0315327,tt0110475,tt0109040"
Taylor Momsen,1993,\N,"actress,soundtrack,director","tt0467110,tt0287717,tt0170016,tt0397442"
Kelley,\N,\N,actress,"tt14793686,tt0170016"
Jeffrey Tambor,1944,\N,"actor,soundtrack","tt1092026,tt3502262,tt0167190,tt0367279"
Ben Stiller,1965,\N,"producer,actor,director","tt0196229,tt0359950,tt1608290,tt0942385"
Edward Norton,1969,\N,"actor,producer,writer","tt0137523,tt0120586,tt2562232,tt0117381"
Jenna Elfman,1971,\N,"actress,producer,soundtrack","tt1632708,tt0118303,tt0171433,tt0131369"
Anne Bancroft,1931,2005,"actress,soundtrack,director","tt0119223,tt0061722,tt0076843,tt0056241"
Forstine Ehobor,\N,\N,actress,tt0170635
Roberto Rondelli,1963,\N,"actor,composer","tt4621872,tt1467273,tt2558004,tt0170635"
Mario Merola,1934,2006,"actor,soundtrack,miscellaneous","tt0081663,tt0078995,tt0082139,tt0082637"
Eleonora Teriaca,\N,\N,actress,"tt0120277,tt0170635"
Marit Andreassen,1966,\N,"actress,soundtrack","tt0480498,tt7280898,tt0896420,tt0429342"
Marit Synnøve Berg,\N,\N,"actress,soundtrack","tt1337366,tt23240298,tt2377081,tt2829458"
Trond Brænne,1953,2013,"actor,writer","tt2409952,tt5012102,tt0219139,tt0106002"
Kjersti Fjeldstad,\N,\N,actress,"tt5170828,tt5044332,tt1010265,tt28455574"
Liam Neeson,1952,\N,"actor,producer,soundtrack","tt1601913,tt0429493,tt0108052,tt0362269"
Sandra Bullock,1964,\N,"producer,actress,soundtrack","tt1041829,tt1454468,tt0212346,tt0111257"
Oliver Platt,1960,\N,"actor,producer","tt0182789,tt1190080,tt0108333,tt0139414"
José Zúñiga,1965,\N,actor,"tt1648190,tt0435705,tt0106246,tt1099212"
Renée Zellweger,1969,\N,"actress,producer,soundtrack","tt0116695,tt0243155,tt0299658,tt0159365"
Morgan Freeman,1937,\N,"actor,producer,soundtrack","tt0114369,tt0468569,tt0405159,tt0097239"
Chris Rock,1965,\N,"producer,actor,writer","tt0351283,tt2784678,tt0398165,tt0325537"
Greg Kinnear,1963,\N,"actor,producer,writer","tt0114319,tt0119822,tt0128853,tt0449059"
Kyra Sedgwick,1965,\N,"actress,producer,director","tt0458253,tt0114496,tt0361127,tt0117333"
Rob Morrow,1962,\N,"actor,director,producer","tt0110932,tt0098878,tt0246072,tt0433309"
Lela Rochon,1964,\N,"actress,producer","tt0114885,tt0146838,tt0120724,tt0118900"
Mary Tyler Moore,1936,2017,"actress,soundtrack,producer","tt0062362,tt0054533,tt0065314,tt0081283"
Richard Thomas,1951,\N,"actor,director,producer","tt0080421,tt0099864,tt0185014,tt0068149"
Maureen McCormick,1956,\N,"actress,soundtrack,producer","tt6918654,tt0075485,tt0063878,tt0118487"
C. Thomas Howell,1966,\N,"actor,producer,director","tt0091209,tt0087985,tt0083866,tt0086066"
Corey Feldman,\N,\N,"actor,producer,soundtrack","tt0093437,tt0092005,tt0089218,tt0096734"
Talia Botone,1966,\N,"actress,stunts,make_up_department","tt0162902,tt0272036,tt0163246,tt0120696"
Jane Clark,\N,\N,"producer,director,writer","tt1128219,tt1575539,tt1709694,tt2384022"
Reese Golchin,\N,\N,"actor,director,writer","tt0976097,tt5774204,tt0083936,tt0172854"
Kristina Gronseth,\N,\N,actress,"tt0134699,tt0406370,tt0172854,tt0202360"
Melanie Griffith,1957,\N,"actress,producer","tt0086984,tt0096463,tt0117107,tt0091983"
Stephen Dorff,1973,\N,"actor,producer,soundtrack","tt0120611,tt1253864,tt1421051,tt0469641"
Alicia Witt,1975,\N,"actress,soundtrack,music_department","tt0087182,tt0146336,tt0411061,tt0408985"
