nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm1833086,Andrew Gitzy,\N,\N,actor,"tt0292513,tt0446565"
nm1035762,Adam Mercer,\N,\N,actor,tt0293888
nm1028413,Brook Burd,\N,\N,actor,tt0293888
nm1028435,Tobi-Lyn Byers,\N,\N,actress,"tt0353794,tt0426940,tt0441666,tt0293888"
nm1035169,Ted Cahn,\N,\N,"actor,miscellaneous,assistant_director","tt0831328,tt0374562,tt0499549,tt0881320"
nm1035255,Gene D'Alessandro,\N,\N,actor,"tt1230138,tt1832045,tt1329403,tt1674178"
nm1029758,Cary Gotleib,\N,\N,actor,tt0293888
nm0336918,Rodney Gray,1960,\N,"actor,producer,director","tt2497618,tt1433014,tt0293888,tt0131597"
nm0171630,Adrià Collado,1972,\N,"actor,soundtrack","tt0169025,tt0280507,tt0116250,tt0791231"
nm1063355,Paco Marín,1974,\N,actor,"tt0292259,tt4136774,tt0124958,tt8476166"
nm1063497,Adriana Domínguez,1976,\N,actress,"tt0356443,tt0808210,tt0292259,tt0376800"
nm0538316,Enric Majó,1945,\N,"actor,art_department,director","tt0452244,tt2134108,tt0289646,tt0246925"
nm0635330,Eduardo Noriega,1973,\N,"actor,writer,producer","tt1549920,tt0800241,tt0443274,tt0125659"
nm0609662,Anna Mouglalis,1978,\N,"actress,director,writer","tt1023441,tt1329457,tt4835480,tt0418110"
nm0891895,Paz Vega,1976,\N,"actress,producer,soundtrack","tt0371246,tt0254455,tt0499603,tt1206885"
nm0723865,Nathalie Richard,1963,\N,"actress,soundtrack,writer","tt1334260,tt0387898,tt0116650,tt10692788"
nm0001319,Mark Harmon,1951,\N,"actor,producer,director","tt0360139,tt0364845,tt0322330,tt0094072"
nm0647638,Eric Christian Olsen,1977,\N,"actor,producer,soundtrack","tt0277371,tt1083456,tt0329028,tt0337921"
nm0250368,Stacy Edwards,1965,\N,"actress,producer","tt0119942,tt0119361,tt2132285,tt0132245"
nm0838911,Jeremy Sumpter,1989,\N,"actor,producer,camera_department","tt0264616,tt0457270,tt2106361,tt0316396"
nm0922024,Dean Teaster,1957,\N,"actor,producer,miscellaneous","tt23462698,tt5960386,tt5126178,tt11808308"
nm1045106,Mary Jo Cuppone,\N,\N,actress,"tt0439532,tt3692652,tt0293154,tt0339834"
nm0675036,DJ Perry,1970,\N,"producer,actor,writer","tt7403772,tt11808308,tt5960386,tt4473806"
nm1056827,Barton Bund,\N,\N,"actor,producer,director","tt2975590,tt10035666,tt3924510,tt5390504"
nm1296680,Amélia Corôa,\N,\N,actress,"tt0119727,tt0229881,tt0340099"
nm1311611,Ludovic Videira,\N,\N,actor,tt0119727
nm1497852,Maria Silva,\N,\N,actress,tt0119727
nm1508260,Miguel Romeira,\N,\N,actor,"tt1173928,tt0778555,tt1302514,tt3811772"
nm0001016,David Carradine,1936,2009,"actor,producer,soundtrack","tt0074235,tt0378194,tt0072856,tt0490086"
nm0540585,Michael Maloney,1957,\N,"actor,location_management,soundtrack","tt0097499,tt0465551,tt12789558,tt0962736"
nm0000446,Mariel Hemingway,1961,\N,"actress,producer,soundtrack","tt0159730,tt0079522,tt0088960,tt0094074"
nm0195672,Marina Anderson,\N,\N,"actress,editorial_department,publicist","tt0103460,tt0222354,tt5537140,tt0428478"
nm0000664,Patrick Swayze,1952,2009,"actor,soundtrack,producer","tt0092890,tt0098206,tt0099653,tt0102685"
nm0001568,Lisa Niemi,1956,\N,"actress,director,miscellaneous","tt0098917,tt0092402,tt0157191,tt0096094"
nm0209340,George De La Pena,1955,\N,"actor,miscellaneous","tt0081235,tt0103872,tt0113819,tt0157191"
nm0908022,Matthew Walker,1942,\N,actor,"tt0450345,tt0118480,tt0110367,tt0369226"
nm0000179,Jude Law,1972,\N,"actor,producer,soundtrack","tt0134119,tt2278388,tt0376541,tt0346156"
nm0000173,Nicole Kidman,1967,\N,"actress,producer,soundtrack","tt0935075,tt0159365,tt0274558,tt0203009"
nm0000250,Renée Zellweger,1969,\N,"actress,producer,soundtrack","tt0116695,tt0243155,tt0299658,tt0159365"
nm0040586,Eileen Atkins,1934,\N,"actress,writer,miscellaneous","tt0286788,tt0159365,tt0955308,tt0280707"
nm0000704,Elijah Wood,1981,\N,"actor,producer,soundtrack","tt0167261,tt0338013,tt0120737,tt0167260"
nm0001557,Viggo Mortensen,1958,\N,"actor,soundtrack,producer","tt3553976,tt0167260,tt0898367,tt0167261"
nm0005212,Ian McKellen,1939,\N,"actor,soundtrack,writer","tt0120737,tt0167260,tt0114279,tt0120684"
nm0089217,Orlando Bloom,1977,\N,"actor,producer,soundtrack","tt0120737,tt0167260,tt0167261,tt0325980"
nm0001826,M. Emmet Walsh,1935,\N,"actor,producer,soundtrack","tt0086979,tt0079367,tt0083658,tt0090887"
nm0366866,Mariette Hartley,1940,\N,"actress,writer,producer","tt0077031,tt0104187,tt0056412,tt0058329"
nm0001704,Vincent Schiavelli,1948,2005,actor,"tt0099653,tt0086856,tt0120347,tt0083929"
nm0812714,Camille Solari,\N,\N,"writer,actress,producer","tt5910664,tt2311336,tt6374740,tt1526001"
nm0104006,Tom Braidwood,1948,\N,"assistant_director,actor,producer","tt0156442,tt0443701,tt0120902,tt0353016"
nm0852647,John R. Taylor,\N,\N,"actor,production_designer,miscellaneous","tt2222334,tt2798974,tt0409459,tt0237572"
nm0850234,Glenn Taranto,1959,\N,"actor,writer,soundtrack","tt0172031,tt12354406,tt1139282,tt9827854"
nm0059490,Glen Barwise,1965,\N,"actor,camera_department,miscellaneous","tt4729628,tt2950668,tt0184955"
nm0038673,William Ash,1977,\N,"actor,writer,director","tt0156757,tt0783598,tt1093369,tt0096645"
nm0972799,Nicholas Audsley,1982,\N,"actor,director,writer","tt0310455,tt5705956,tt1954980,tt0246430"
nm0196971,Sophie Dahl,1977,\N,"actress,writer","tt0418835,tt0388181,tt0274711,tt0175876"
nm0002091,Michael Gambon,1940,2023,"actor,soundtrack,music_department","tt1201607,tt0097108,tt0417741,tt0280707"
nm0000421,Cuba Gooding Jr.,1968,\N,"actor,soundtrack,writer","tt0114069,tt0101507,tt0316465,tt0116695"
nm0461498,Beyoncé,1981,\N,"music_artist,soundtrack,actress","tt0443489,tt1198138,tt6105098,tt0295178"
nm0258402,Mike Epps,1970,\N,"actor,producer,soundtrack","tt0293815,tt0318627,tt1119646,tt0432021"
nm1328870,Nigel Washington,\N,\N,"editor,actor,cinematographer","tt27693789,tt0191133,tt7790172"
nm1364709,Vincent Tufariello,\N,\N,actor,tt0191211
nm0663061,Steve Parlavecchio,1970,2014,actor,"tt0112454,tt0267764,tt0165107,tt0103512"
nm0621597,Arthur J. Nascarella,1944,\N,"actor,miscellaneous","tt4270492,tt0318374,tt0141842,tt0124718"
nm0593009,Stacie Mistysyn,1971,\N,"actress,music_department","tt29684828,tt0288937,tt0134951,tt0090417"
nm0135784,Ralph Caputo,\N,\N,actor,tt0191211
nm0938067,Jill Wolfe,\N,\N,"producer,actress","tt1079988,tt1713283,tt0191211,tt2365811"
nm0097374,Tom Borrillo,\N,\N,actor,"tt2195474,tt0191211,tt0118298,tt0935095"
nm0039229,Joseph Ashton,1986,\N,actor,"tt0244926,tt0119052,tt0120213,tt0161160"
nm0559986,Dave Matthews,1967,\N,"soundtrack,actor,composer","tt1564367,tt0234215,tt0280590,tt0960144"
nm0265309,Renee Faia,\N,\N,"actress,art_department,director","tt0185155,tt0192788,tt5580664,tt9327872"
nm0205067,Mac Davis,1942,2020,"soundtrack,actor,composer","tt0240772,tt0435705,tt0079640,tt1355644"
nm0414064,Stoney Jackson,1960,\N,"actor,producer,writer","tt0109127,tt0105636,tt0116277,tt0088470"
nm0884306,Scott Valentine,1958,\N,"actor,producer,soundtrack","tt0083413,tt0110825,tt0155425,tt0108348"
nm0108726,Dori Bridges,\N,\N,actress,"tt0193011,tt0176578,tt0947009,tt0838153"
nm0108712,Betty A. Bridges,\N,\N,"actress,director,writer","tt0120770,tt0150280,tt0106079,tt0176578"
nm1569770,Farid Chenaine,\N,\N,actor,tt0195119
nm0244151,Romain Duris,1974,\N,"actor,soundtrack","tt0411270,tt1465487,tt0283900,tt2027140"
nm0796316,Clément Sibony,1976,\N,"actor,director","tt2980648,tt0113117,tt1243957,tt0216740"
nm1193838,Mathilde Bertrandy,1974,\N,"editor,editorial_department,actress","tt0195119,tt0290594,tt0380834,tt0887975"
nm0229073,Rachid Djaidani,\N,\N,"actor,director,writer","tt0113247,tt5189440,tt4586728,tt2173668"
nm0105938,Stéphanie Dupont,\N,\N,"actress,camera_department","tt0195119,tt0284277,tt0347330,tt1642194"
nm0430629,Karole Rocher,1974,\N,"actress,producer,director","tt20383014,tt6054910,tt1429534,tt1661420"
nm0932870,André Wilms,1947,2022,"actor,soundtrack","tt1508675,tt0100747,tt0105750,tt0109731"
nm0772767,Walter Schmidinger,1933,2013,actor,"tt0110086,tt0090806,tt0129277,tt0080397"
nm0496087,Geno Lechner,1965,\N,actress,"tt0219130,tt0431091,tt0108052,tt1839522"
nm0205811,Baki Davrak,1971,\N,actor,"tt0177572,tt3521192,tt7431994,tt0880502"
nm0065942,Irene Bedard,1967,\N,"actress,producer","tt0409572,tt0114148,tt5848272,tt0110297"
nm0095478,Mark Boone Junior,1955,\N,"actor,soundtrack,producer","tt0389722,tt0372784,tt0322259,tt0209144"
nm0612487,Kieran Mulroney,1965,\N,"actor,writer,soundtrack","tt1515091,tt0107007,tt3717490,tt0101545"
nm0010828,Chip Adams,\N,\N,actor,tt0204352
nm0265429,Stacy Fair,\N,\N,"actress,miscellaneous","tt0460681,tt0201934,tt0243595,tt0115351"
nm0487585,Clare Lapinskie,\N,\N,actress,"tt0228004,tt0128886,tt0120657,tt0115317"
nm0206079,Bruce Dawson,\N,\N,"actor,miscellaneous,stunts","tt0375210,tt1381404,tt0282687,tt2322441"
nm0365755,Matthew Harrison,1968,\N,"actor,director,writer","tt0245674,tt0409459,tt0477347,tt0165929"
nm0728476,Lazar Ristovski,1952,\N,"actor,producer,writer","tt2948166,tt0191821,tt0114787,tt0381061"
nm1523857,Iakov Kultiasov,1991,\N,actor,"tt0206866,tt10997432"
nm0856918,Katharina Thalbach,1954,\N,"actress,director,soundtrack","tt8437226,tt0078875,tt0440978,tt2725576"
nm1566521,Julia Khanverdieva,\N,\N,actress,tt0206866
nm0600531,Ron Moody,1924,2015,"actor,writer,composer","tt0063385,tt0057328,tt0066495,tt9243946"
nm0502218,Rula Lenska,1947,\N,"actress,music_department","tt1059027,tt0086287,tt0075113,tt0073639"
nm0086818,Lee Blakemore,\N,\N,actress,"tt0181588,tt0207002,tt0190273,tt0119206"
nm0639672,Leyland O'Brien,\N,\N,actor,"tt1843678,tt0207002,tt0487189,tt0778573"
nm0334882,Darío Grandinetti,1959,\N,actor,"tt8956390,tt0287467,tt0120250,tt3011894"
nm0127925,Nicolás Cabré,1980,\N,actor,"tt0307832,tt1729622,tt1641424,tt0456246"
nm0835727,Jazmín Stuart,1976,\N,"actress,director,writer","tt4201044,tt11858968,tt7903634,tt1568816"
nm0176536,Patricio Contreras,1947,\N,"actor,soundtrack","tt0105923,tt0089276,tt0363292,tt0093466"
nm0924784,Farah White,\N,\N,"actress,producer,director","tt2261976,tt9356326,tt3007132,tt0212346"
nm0410310,Michelle Irving,\N,\N,actress,"tt0211423,tt0309152"
nm0123803,Elena Burunova,\N,\N,"actress,camera_department","tt1380080,tt0211423"
nm0003096,Jennifer Harris,1992,\N,actress,"tt0220114,tt0211423,tt0377263"
nm1006980,Lindsay Ferguson,\N,\N,"actress,music_department,soundtrack","tt8410620,tt0215244,tt3384484"
nm1110102,Mary Dee,\N,\N,"actress,producer,production_manager","tt0215244,tt1001548,tt0462190"
nm1179559,Steven Gridley,\N,\N,"actor,producer","tt0361696,tt6091136,tt0386846"
nm0430590,G. Anthony Joseph,\N,\N,"actor,producer,writer","tt15303510,tt0247087,tt0112022"
nm0304551,Alison Ganssle,\N,\N,actress,"tt0215244,tt0238225,tt0123832"
nm1136721,Chad Kerkenbush,\N,\N,"actor,miscellaneous",tt0215244
nm1006565,Eara Betts,\N,\N,actress,tt0215244
nm1005714,Megan Cook,\N,\N,actress,"tt0215244,tt1363091"
nm1185765,Kimberly Morgan III,\N,\N,actress,"tt0229567,tt0215244"
nm0822130,Marius Stanescu,1966,\N,actor,"tt0103165,tt0217084,tt10189204,tt10832106"
nm0227708,Gheorghe Dinica,1934,2009,actor,"tt0200630,tt0073572,tt0107792,tt0068578"
nm0900760,Clara Voda,1970,\N,actress,"tt0456149,tt2171761,tt2527190,tt1590024"
nm0899786,Gheorghe Visu,1951,\N,actor,"tt9800034,tt0121033,tt0137137,tt5088794"
nm0691509,Paul Popowich,1973,\N,"actor,producer","tt3230854,tt2309295,tt2397255,tt1519931"
nm0357818,Derek Hamilton,\N,\N,"actor,writer,producer","tt3727202,tt2193021,tt2872518,tt2055593"
nm0506405,Eugene Levy,1946,\N,"actor,writer,producer","tt0310281,tt0218839,tt0163651,tt0118111"
nm0526955,Audrey Lupke,\N,\N,actress,"tt0182526,tt0119856,tt0207302,tt0217802"
nm0702809,DJ Qualls,1978,\N,"actor,producer,soundtrack","tt0215129,tt0410097,tt0298814,tt0241760"
nm0004761,Rachel Blanchard,\N,\N,actress,"tt0387764,tt14016500,tt0863046,tt2802850"
nm0288929,Colin Fox,1938,\N,"actor,soundtrack,miscellaneous","tt0116040,tt0114694,tt0080768,tt0115326"
nm0437088,Sean Kanan,1966,\N,"actor,producer,writer","tt0092325,tt11454182,tt7221388,tt9600274"
nm0010486,Mark Adair-Rios,1969,\N,"actor,producer","tt0413573,tt3502248,tt3920596,tt1579910"
nm0167086,Eric Close,1967,\N,"actor,director,producer","tt1632701,tt2179136,tt2667922,tt0321021"
nm0195773,Alex D'Lerma,\N,\N,"actor,producer,editor","tt3276924,tt4080400,tt2005374,tt1925431"
nm2336891,Deidra Edwards,\N,\N,"actress,writer,casting_department","tt0426415,tt0830535,tt3522530,tt2387879"
nm0004773,Lisa Brenner,\N,\N,"actress,producer,director","tt0187393,tt1621046,tt17371078,tt7250378"
nm0172557,Misha Collins,1974,\N,"actor,producer,writer","tt0172493,tt0460681,tt2100816,tt4125902"
nm0000991,Geneviève Bujold,1942,\N,"actress,soundtrack,writer","tt0077355,tt0064030,tt0094964,tt0079592"
nm0001221,Louise Fletcher,1934,2022,actress,"tt0139134,tt0073486,tt0093036,tt0114857"
nm9344394,Gabriella Biemforde,\N,\N,actor,tt0232537
nm0214916,Wayne Dehart,\N,\N,actor,"tt0099817,tt4364194,tt1276104,tt0100502"
nm4024563,Milo Frank,\N,\N,actor,tt0232537
nm1312065,Kevin Linell,\N,\N,actor,"tt0162402,tt3455826,tt0232537,tt3205802"
nm1076079,Eric Bruno Borgman,1970,\N,"actor,miscellaneous,producer","tt0986263,tt0492956,tt1226273,tt0237152"
nm1084450,Michael Kaplan,1946,\N,actor,tt0237152
nm1087325,George Souza,1958,\N,actor,"tt0460395,tt0237152"
nm1087128,Michael Greeley,\N,\N,actor,tt0237152
nm0637505,Menashe Noy,1959,\N,"actor,writer,director","tt3062880,tt0265479,tt0290238,tt2309224"
nm0957909,Ayelet Zurer,1969,\N,"actress,producer","tt0808151,tt0408306,tt0770828,tt0443274"
nm0038988,Lior Ashkenazi,\N,\N,"actor,director","tt0352994,tt1445520,tt2309224,tt0287471"
nm0411980,Mark Ivanir,1968,\N,"actor,miscellaneous,sound_department","tt8787802,tt4378376,tt15568702"
nm0149953,Jonathan Chalker,\N,\N,"actor,composer,producer",tt0241961
nm0236015,Lea Downey,\N,\N,actress,"tt0304729,tt0241961,tt1737154,tt1796616"
nm0518754,Melissa London,\N,\N,"actress,art_department,composer",tt0241961
nm0174044,James Compton,\N,\N,actor,"tt0241961,tt0194227"
nm0927907,Aurélien Wiik,1980,\N,"actor,producer,director","tt1421051,tt3659528,tt0220239,tt0814685"
nm0067367,Bérénice Bejo,1976,\N,"actress,cinematographer","tt1655442,tt0464913,tt0183790,tt2404461"
nm0635974,Vítor Norte,1951,\N,"actor,writer","tt0236788,tt8885808,tt0120159,tt0120790"
nm0180869,Maria Emília Correia,1947,\N,"actress,soundtrack,miscellaneous","tt1996233,tt5567404,tt2999034,tt0495664"
nm0004695,Jessica Alba,1981,\N,"actress,producer,cinematographer","tt0120667,tt0985694,tt0486576,tt0401792"
nm0000950,Brenda Blethyn,1946,\N,"actress,soundtrack,writer","tt0147004,tt0117589,tt0414387,tt0195234"
nm0199215,Hugh Dancy,1975,\N,"actor,producer,soundtrack","tt1441326,tt2243973,tt0327679,tt1185836"
nm0001364,Bob Hoskins,1942,2014,"actor,soundtrack,director","tt0096438,tt0108255,tt0081070,tt0091538"
nm0689605,Silvio Pollio,1972,\N,"actor,writer,producer","tt1584701,tt0243652,tt0106246,tt0433451"
nm0006473,Daniella Evangelista,1982,\N,"actress,casting_director,producer","tt0268579,tt2529866,tt3413236,tt0272379"
nm1922226,Franco Valenti,\N,\N,actor,"tt0243652,tt3350432"
nm1424935,Paige Gray,\N,\N,"actress,script_department,miscellaneous","tt0243652,tt3645234,tt0377990,tt0366351"
nm0000448,Lance Henriksen,1940,\N,"actor,producer,miscellaneous","tt0107076,tt0114214,tt0090605,tt0370263"
nm0796125,Christopher Shyer,1961,\N,"actor,producer,director","tt1616195,tt0164334,tt0298814,tt0282687"
nm0750787,Stellina Rusich,\N,\N,"miscellaneous,actress,composer","tt0119781,tt0118040,tt0248110,tt0312172"
nm0902807,Stefanie von Pfetten,1973,\N,actress,"tt3390892,tt3289724,tt2078576,tt13875494"
nm1362511,Carlos Albert,\N,\N,actor,"tt0307100,tt0249498,tt0056758,tt0366021"
nm0179342,Kerry Corcoran,\N,\N,"actor,producer","tt0134273,tt0366965,tt0249498,tt0158708"
nm2199114,Jackie Di Crystal,\N,\N,"actress,producer,editor","tt2333956,tt1500151,tt1625189,tt0249498"
nm9420266,Emilio Diaz,\N,\N,actor,tt0249498
nm0945189,Simon Yam,1955,\N,"actor,producer,director","tt1220719,tt0250638,tt0434008,tt0325703"
nm0482695,Suet Lam,1964,\N,"actor,production_manager,miscellaneous","tt0250638,tt3504824,tt1641638,tt0373074"
nm0939315,Ruby Wong,1979,\N,actress,"tt0120115,tt0114991,tt0166485,tt0216165"
nm0803308,Maggie Siu,1965,\N,actress,"tt0901488,tt0434008,tt1329454,tt0250638"
nm0895308,Tricia Vessey,1972,\N,"actress,writer,director","tt0165798,tt0119468,tt0118689,tt2637098"
nm0005459,Liz Stauber,1979,\N,actress,"tt0368447,tt0283139,tt0181875,tt0120188"
nm1328119,Alvin Seme,\N,\N,actor,"tt0249846,tt0303367"
nm1042656,Matt Boren,\N,\N,"actor,writer,producer","tt0460649,tt1554369,tt1597420,tt2382108"
nm0000172,Harvey Keitel,1939,\N,"actor,producer,soundtrack","tt0103759,tt2278388,tt0110912,tt0105236"
nm0005013,Iben Hjejle,1971,\N,"actress,writer","tt1034303,tt0164756,tt0146882,tt0282768"
nm0102744,Diana Bracho,1944,\N,actress,"tt0214340,tt0245574,tt0130496,tt0079341"
nm0305558,Gael García Bernal,1978,\N,"actor,producer,writer","tt0245574,tt0245712,tt0318462,tt3502172"
nm0280541,Jim Fitzpatrick,1959,\N,"actor,producer,director","tt0120591,tt2327521,tt1564349,tt0244365"
nm0461458,Jodi Knotts,\N,\N,"producer,actress,location_management","tt8063258,tt10187110,tt0110216,tt2327521"
nm0863570,Corbin Timbrook,1958,\N,"actor,producer,director","tt0100631,tt5748392,tt10313806,tt27664086"
nm0103280,John Bradley,\N,\N,actor,"tt0217979,tt0116629,tt0115289,tt0115236"
nm0004334,Rekha,1954,\N,"actress,music_department,soundtrack","tt0254481,tt0246729,tt0083248,tt0151206"
nm0004335,Hrithik Roshan,1974,\N,"actor,assistant_director,music_department","tt0449994,tt1562872,tt5460276,tt0254481"
nm0006689,Preity G Zinta,1975,\N,"actress,producer,writer","tt0347304,tt0254481,tt0164538,tt0420332"
nm0066073,Rajat Bedi,\N,\N,"actor,assistant_director,producer","tt0113526,tt0783730,tt0254481,tt0115042"
nm0589976,Eddie Mills,1972,\N,"actor,producer,miscellaneous","tt0261992,tt0118925,tt0118300,tt0321021"
nm0006969,Elizabeth Banks,1974,\N,"actress,producer,director","tt1951265,tt0903657,tt1490017,tt1392170"
nm0714310,James Rebhorn,1948,2014,actor,"tt0134119,tt0116629,tt0105323,tt0119174"
nm0461355,Sascha Knopf,\N,\N,"actress,casting_director,producer","tt0161083,tt0256380,tt12457754,tt0760311"
nm0836977,Michel Subor,1935,2022,actor,"tt0065112,tt0209933,tt0054177,tt0055032"
nm0102008,Benjamin Boyer,\N,\N,actor,"tt3451360,tt1754331,tt0103442,tt1911553"
nm0868881,Philippe Torreton,1965,\N,"actor,writer","tt0115822,tt0186730,tt1247640,tt1582244"
nm1032568,Denise Aron-Schropfer,\N,\N,actress,"tt0985082,tt0424510,tt1560993,tt8653638"
nm0184965,Christina Cox,1971,\N,"actress,producer,stunts","tt1535108,tt0168987,tt0115168,tt0296572"
nm0054920,Josh Barker,\N,\N,actor,"tt0284260,tt0212881,tt0256400,tt0225828"
nm0312768,Bryan Genesse,1964,\N,"actor,miscellaneous,writer","tt0246446,tt0101209,tt0203835,tt0118864"
nm0004540,Darren Shahlavi,1972,2015,"actor,stunts,miscellaneous","tt1053424,tt1921064,tt0297181,tt1386932"
nm0378586,Leon Herbert,\N,\N,"actor,director,writer","tt1888075,tt2674806,tt0103644,tt15239678"
nm0580244,Bob Mercer,\N,\N,actor,"tt0221563,tt1653700,tt0384766,tt0776798"
nm1180131,Steve Weston,1962,\N,"actor,producer,writer","tt2000441,tt4377942,tt1791681,tt0088512"
nm0250479,Steve Edwin,\N,\N,"actor,script_department","tt10619332,tt8425532,tt6913998"
nm0893257,Milo Ventimiglia,1977,\N,"actor,producer,director","tt1034032,tt5555260,tt0964539,tt0813715"
nm0858776,Eddie Kaye Thomas,1980,\N,"actor,soundtrack,writer","tt1605630,tt0163651,tt0366551,tt0328828"
nm0881948,Justin Urich,1978,\N,"actor,writer","tt0144528,tt0122247,tt0278488,tt0365513"
nm0589976,Eddie Mills,1972,\N,"actor,producer,miscellaneous","tt0261992,tt0118925,tt0118300,tt0321021"
nm0564805,Tom McCamus,1955,\N,"actor,miscellaneous","tt0361467,tt0120255,tt3170832,tt0105435"
nm0015300,Lucy Akhurst,1975,\N,"actress,producer,director","tt0238793,tt0120053,tt0428506,tt0264108"
nm0610459,Stephen Moyer,1969,\N,"actor,producer,director","tt0180073,tt1646980,tt0844441,tt0822847"
nm2823353,Marlene Dunn,\N,\N,actress,tt0264108
nm0000164,Anthony Hopkins,1937,\N,"actor,soundtrack,composer","tt0412080,tt0113987,tt0102926,tt0975645"
nm0001349,Jennifer Love Hewitt,1979,\N,"actress,producer,soundtrack","tt0125022,tt0290095,tt0119345,tt0130018"
nm0000285,Alec Baldwin,1958,\N,"actor,producer,soundtrack","tt0104348,tt0318374,tt0407887,tt1230414"
nm0000101,Dan Aykroyd,1952,\N,"writer,actor,producer","tt0102558,tt0080455,tt0087332,tt0118747"
nm0005261,Brittany Murphy,1977,2009,"actress,soundtrack,producer","tt0298203,tt0305711,tt0112697,tt0172493"
nm0266824,Dakota Fanning,1994,\N,"actress,producer,soundtrack","tt0416212,tt0407304,tt0277027,tt0328107"
nm0000181,Heather Locklear,1961,\N,"actress,producer,soundtrack","tt0098193,tt0103491,tt0119695,tt0380623"
nm0817980,Jesse Spencer,1979,\N,"actor,soundtrack","tt2261391,tt0263757,tt0088580,tt0412142"
nm0000237,John Travolta,1954,\N,"actor,soundtrack,producer","tt0077631,tt0113161,tt0110912,tt0076666"
nm0000168,Samuel L. Jackson,1948,\N,"actor,producer,soundtrack","tt3460252,tt0110912,tt0417148,tt4154664"
nm0001567,Connie Nielsen,1965,\N,"actress,producer,writer","tt0264395,tt0451279,tt0265459,tt0172495"
nm0004857,Tim Daly,1956,\N,"actor,producer,director","tt0264395,tt2027128,tt0098948,tt0247097"
nm0515442,Carolina Lizarazo,\N,\N,actress,"tt0872318,tt0264946,tt1538988,tt1260520"
nm0868222,Jhon Álex Toro,\N,\N,"actor,casting_department,producer","tt0390221,tt0264946,tt0484740,tt13248198"
nm0617659,Hernán Méndez,\N,\N,actor,"tt6311902,tt1249429,tt1704637,tt1244387"
nm0140345,Enrique Carriazo,\N,\N,"actor,writer,director","tt6085808,tt5079620,tt6034694,tt7161342"
nm0000235,Uma Thurman,1970,\N,"actress,producer,soundtrack","tt0266697,tt0110912,tt0378194,tt0118688"
nm0001016,David Carradine,1936,2009,"actor,producer,soundtrack","tt0074235,tt0378194,tt0072856,tt0490086"
nm0000435,Daryl Hannah,1960,\N,"actress,producer,director","tt0083658,tt0378194,tt0088161,tt0094291"
nm0000514,Michael Madsen,1957,\N,"actor,producer,writer","tt0105236,tt0119008,tt0266697,tt0103074"
nm0004874,Vin Diesel,1967,\N,"producer,actor,director","tt0232500,tt2015381,tt2820852,tt0295701"
nm0648249,Timothy Olyphant,1968,\N,"actor,producer,soundtrack","tt0139239,tt0971209,tt0455407,tt1489428"
nm0005478,Larenz Tate,1975,\N,"actor,producer,director","tt0107554,tt0375679,tt0350258,tt0119572"
nm0798316,Geno Silva,1948,2020,actor,"tt0078723,tt0118607,tt0266465,tt0086250"
nm0004335,Hrithik Roshan,1974,\N,"actor,assistant_director,music_department","tt0449994,tt1562872,tt5460276,tt0254481"
nm0004626,Kareena Kapoor,1980,\N,"actress,soundtrack,music_department","tt1187043,tt1562871,tt1093370,tt0488414"
nm0045393,Abhishek Bachchan,1976,\N,"actor,music_department,soundtrack","tt1185420,tt1334470,tt0432047,tt2461132"
nm0505323,Johny Lever,1957,\N,"actor,music_department,soundtrack","tt0248126,tt0319020,tt0254481,tt0106333"
nm0663061,Steve Parlavecchio,1970,2014,actor,"tt0112454,tt0267764,tt0165107,tt0103512"
nm0000371,Ami Dolenz,1969,\N,"actress,producer,miscellaneous","tt0056758,tt0092718,tt0107949,tt0110913"
nm0676356,Carey Peters,\N,\N,actress,"tt0108757,tt0206878,tt0267764,tt1035462"
nm0752109,Yuri Rutman,\N,\N,"actor,producer,director","tt8242080,tt8115468,tt2337715,tt12400576"
nm0000169,Tommy Lee Jones,1946,\N,"actor,director,soundtrack","tt0106977,tt0443272,tt2398231,tt0477348"
nm0001125,Benicio Del Toro,1967,\N,"actor,producer,director","tt0114814,tt3397884,tt2015381,tt0181865"
nm0001567,Connie Nielsen,1965,\N,"actress,producer,writer","tt0264395,tt0451279,tt0265459,tt0172495"
nm0005462,Leslie Stefanson,1971,\N,actress,"tt0269347,tt0217869,tt6823368,tt0144214"
nm0131083,Felipe Camacho,\N,\N,"actor,production_manager","tt1196614,tt0189192,tt0475283,tt0270349"
nm1373285,Heather Witt,\N,\N,actress,"tt0498368,tt0494218,tt0270349,tt0412519"
nm0119695,Juan Carlos Buitron,\N,\N,"producer,director,actor","tt0218056,tt0270349,tt26343826,tt16282238"
nm8245821,Jon Arndt,\N,\N,actor,tt0270349
nm0000474,Michael Keaton,1951,\N,"actor,miscellaneous,producer","tt2562232,tt0096895,tt1895587,tt4276820"
nm0000323,Michael Caine,1933,\N,"actor,producer,soundtrack","tt0468569,tt3312830,tt0482571,tt0124315"
nm0002105,Judith Godrèche,1972,\N,"actress,writer,director","tt3844362,tt0283900,tt0117477,tt0120744"
nm0784884,Rade Serbedzija,1946,\N,"actor,soundtrack,writer","tt0120755,tt0208092,tt0372784,tt0120053"
nm0573618,Kevin McNally,1956,\N,"actor,writer,director","tt0325980,tt0383574,tt0449088,tt1298650"
nm1186830,Perry Fitzpatrick,1982,\N,"actor,miscellaneous","tt9165134,tt6398184,tt2528254"
